Name,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews
Amaretto,London,"Italian, Pizza, Mediterranean, Vegetarian Friendly",5812,4,$$ - $$$,39,"Good Italian, with a relaxed and easy feel, Super nice staff and good food:), 09/01/2017, 04/20/2017"
The Flask,London,"Bar, British, Pub, Gastropub, Vegetarian Friendly, Gluten Free Options",5813,3.5,$$ - $$$,262,"Sunday lunch, Huge Portions, Quaint Atmosphere, 12/31/2017, 12/28/2017"
Taberna Etrusca,London,"Italian, Vegetarian Friendly, Gluten Free Options",5814,4,$$ - $$$,159,"All little piece of Italy in the heart of..., Lunchtime treat, 11/19/2017, 11/17/2017"
Kappacasein,London,"Fast Food, Vegetarian Friendly",5815,4.5,$,33,"Nice cheese sandwich, Amazing gooey cheese, 12/08/2017, 11/11/2017"
Sans Pere,London,,5816,4.5,,10,"Amazing place, Quick coffee !, 12/31/2017, 12/17/2017"
Top Meadow,London,"British, International, Vegetarian Friendly, Gluten Free Options",5817,4,$$ - $$$,114,"Saturday lunch., Lunch with a view, 12/17/2017, 08/26/2017"
Three Little Birds,London,"Caribbean, Jamaican, Vegetarian Friendly",5818,4,$$ - $$$,63,"great food and staff, Very good New Market veg offer, 11/20/2017, 10/28/2017"
City Miyama Restaurant,London,"Japanese, Sushi, Asian",5819,4,$$ - $$$,42,"Good food but too expensive IMO, Great for business lunch, 09/19/2017, 09/15/2017"
The Thames,London,"Indian, Asian, Vegetarian Friendly, Vegan Options",5820,3.5,$$ - $$$,184,"Great fòod not great staff., Food Far better than the Customer Service, 12/21/2017, 12/15/2017"
The Phoenix,London,"Bar, British, Pub, Gastropub, Vegetarian Friendly",5821,3.5,$$ - $$$,71,"Always Enjoyable, Really nice atmosphere, 11/27/2017, 10/26/2017"
Boma Green,London,"British, Gluten Free Options, Vegetarian Friendly",5822,4.5,$$ - $$$,73,"Nice food and service, Breakfast, 10/25/2017, 08/12/2017"
Ellory,London,"European, Vegetarian Friendly",5823,4,$$ - $$$,52,"""If there was a Good category rather than..."", Great dining experience - with cooking tip..., 08/28/2017, 08/12/2017"
The Ship,London,"Bar, British, Pub",5824,4,$$ - $$$,32,"Business lunch with old Colleagues, Fantastic pub; Great burgers, 12/15/2017, 10/10/2017"
Proper Burgers,London,"American, Halal",5825,4,$$ - $$$,47,"Bit expensive but lovely food., Pretty good, 10/14/2017, 09/10/2017"
Blue Mountain Cafe,London,"Cafe, British, Vegetarian Friendly",5826,4,$,47,"Coffee, Nice Place, 11/17/2017, 06/06/2017"
The Perseverance,London,"Pizza, Bar, British, Pub, European",5827,4,$$ - $$$,58,"Nice place, Nice pub, 09/26/2017, 07/15/2017"
Tea2you,London,,5828,5,,21,"Lovely little teaplace, Tea2you Borough Market., 05/01/2017, 03/18/2017"
The Detox Kitchen,London,"Cafe, Vegetarian Friendly, Vegan Options, Gluten Free Options",5829,4,$$ - $$$,67,"Tasty healthy take out lunch, Healthy choices !, 09/11/2017, 08/27/2017"
Bar Centrale,London,"Italian, Pizza, Vegetarian Friendly",5830,4,$$ - $$$,132,"Tasty, VERY good pizza and amiable service, 12/04/2017, 06/07/2017"
Viva Acai,London,"Vegetarian Friendly, Vegan Options",5831,4.5,$,21,"So yummy!, Super lovely acai!, 01/05/2018, 11/29/2017"
The Rooftop,London,Asian,5832,4.5,$$ - $$$,11,"Chilling Indulgence, Great Views, 12/30/2017, 12/22/2017"
New bowl,London,"Chinese, Asian, Vegetarian Friendly",5833,4.5,$$ - $$$,29,"Best in within distance!, Good food, 01/06/2018, 12/16/2017"
The Coborn,London,"Bar, British, Pub",5834,4,$$ - $$$,90,"Crafty pint whilst house hunting, Decent pub food with little twists, 10/28/2017, 09/16/2017"
Le Delicorner,London,"French, Cafe, British, Delicatessen",5835,4.5,$$ - $$$,30,"The place for cooked breakfast, Fabulous breakfast, 01/03/2018, 12/24/2017"
Camdens Daughter,London,"Bar, American, British, Pub",5836,4,$,45,"Good pub, awesome burger, Lunch, 11/12/2017, 07/15/2017"
L Antica Pizzeria da Michele,London,"Italian, Pizza, Mediterranean",5837,4,$$ - $$$,16,"A bit of Napoli in central London, Neapolitan pizza full of flavour and high..., 01/07/2018, 12/29/2017"
Fox & Hounds,London,"Bar, British, Pub, Gastropub",5838,4,$$ - $$$,75,"Good english pub food..well priced pints!, Good for a laugh, 12/03/2017, 12/03/2017"
Noodle Noodle,London,"Asian, Vegetarian Friendly, Gluten Free Options",5839,3.5,$,178,"Nice, reasonable halal food in the centre..., Good-Sized Portions; Decent Price, 10/01/2017, 09/17/2017"
Garrick Arms,London,"British, Bar, Pub",5840,3.5,$$ - $$$,236,"Very Nice, Cosy but not for a tight budget, 01/06/2018, 01/04/2018"
The Sterling,London,"Bar, British, Vegetarian Friendly",5841,4,$$ - $$$,104,"Nice for work lunches, Great Burger, 08/18/2017, 07/21/2017"
Dahlak,London,,5842,4.5,,9,"Christening, Food, 01/05/2018, 01/05/2018"
Stage Door Steakhouse & Bar,London,"Mediterranean, Greek, Steakhouse",5843,4,$$ - $$$,52,"Lovely, Decent enough in quiet old fashioned envir..., 06/04/2017, 01/01/2018"
Churchfields,London,"Cafe, British, Contemporary, Vegetarian Friendly",5844,4,$,35,"I will be back, Nice fresh croissants!, 07/16/2017, 04/04/2017"
Balham Bowls Club,London,"Bar, British, Pub, Vegetarian Friendly",5845,3.5,$$ - $$$,130,"Lovely for a pint, food is alright, Getting rather seedy, 12/13/2017, 10/10/2017"
The Trafalgar Dining Rooms,London,"Mediterranean, European, Vegetarian Friendly",5846,4.5,$$ - $$$,11,"Superb , plus roof top bar sensational, ""Fab New Years Day Lunch!!"", 01/07/2018, 01/04/2018"
Fields Bar & Kitchen,London,"Italian, Pizza, Cafe, British, Vegetarian Friendly, Gluten Free Options",5847,3.5,$$ - $$$,98,"Fast, reasonable food in lovely location, Pricey Draughty Slow Nice spot for a slow..., 12/09/2017, 10/01/2017"
Pret a manger - Ludgate Hill,London,"Cafe, Fast Food, Vegetarian Friendly, Vegan Options",5848,4.5,$,24,"Pret Ludgate Hill, New to English breakfast sandwiches, 10/16/2017, 06/10/2017"
Leon - Regent Street,London,"Fast Food, Healthy, Vegetarian Friendly, Vegan Options, Gluten Free Options",5849,4,$,67,"Great food, Fast food with a healthy twist., 12/20/2017, 10/23/2017"
Boydens Kitchen,London,"Cafe, British, Vegetarian Friendly, Gluten Free Options, Vegan Options",5850,4,$$ - $$$,127,"Unexpected, A piece of Hampstead in New Southgate, 08/29/2017, 08/13/2017"
Atrium Bar & Cafe,London,"British, Bar, Cafe, Pub",5851,4,$$ - $$$,30,"Lovely Art Deco Lounge, evening drinks., 11/24/2017, 11/13/2017"
John Snow Pub,London,"Bar, British, Pub, Vegetarian Friendly",5852,3.5,$,134,"Quick Stop on our Cholera Tour, Nice , chill pub food, 12/26/2017, 10/24/2017"
Shikumen Finchley Road,London,"Chinese, Asian, Grill, Vegetarian Friendly",5853,3.5,$$ - $$$,54,"Excellent Food and Service, 12 1/2% service charge not shown on displa..., 01/01/2018, 12/03/2017"
Tonkotsu East,London,"Japanese, Asian, Vegetarian Friendly",5854,3.5,$$ - $$$,82,"Not spicy enough!, Nice enough, but not at the top end, 12/16/2017, 10/23/2017"
Strada,London,"Italian, Pizza, Vegetarian Friendly",5855,3.5,$$ - $$$,190,"Good budget food but tired premises, A good place for a reasonable lunch, 01/01/2018, 12/03/2017"
Brass Monkey,London,"Bar, Pub, British, Gastropub",5856,4,$,32,"Nice small pub., Future Hope - Special Event, 01/09/2018, 09/23/2017"
Taste Of Raj,London,"Indian, Asian, Balti, Eastern European, Bangladeshi, Vegetarian Friendly, Halal",5857,4.5,$$ - $$$,40,"Delicious!, Just the Ticket, 12/09/2017, 08/24/2017"
Ladywell Tandoori,London,"Indian, Asian, Vegetarian Friendly",5858,4.5,$$ - $$$,22,"Fantastic staff, so friendly, and the food..., A little treat !, 12/02/2017, 10/31/2017"
Zizzi - Finchley Rd O2 Centre,London,"Italian, Pizza, Vegetarian Friendly, Vegan Options, Gluten Free Options",5859,4,$$ - $$$,167,"Coffee and dessery, Attentive service, 01/06/2018, 11/19/2017"
The Dartmouth Arms,London,"Bar, British, Pub, Vegetarian Friendly",5860,3.5,$$ - $$$,52,"Go on then twist my (Dartmouth) Arm...., Always great food!, 12/16/2017, 10/10/2017"
Brown & Green,London,,5861,4.5,,8,"Lovely food!, Brown and greens, 12/29/2017, 10/18/2017"
The Hand of Glory,London,"Bar, Pub, British",5862,4.5,$$ - $$$,17,"Delicious roast, A quick G&T, 09/06/2017, 08/09/2017"
The Marquis of Granby,London,"Bar, British, Pub",5863,4,$$ - $$$,58,"A nice meal, Pub Lunch, 01/08/2018, 10/12/2017"
La Boite,London,Vegetarian Friendly,5864,4,$$ - $$$,25,"Lovely crepes, Extremely unusual venue, 01/07/2018, 11/22/2017"
The Bishops Finger,London,"Bar, Pub",5865,4,$$ - $$$,28,"Basic pub grub, Great service, Great Food, Great choice, 10/31/2017, 04/14/2017"
The Real Greek,London,"Mediterranean, Greek, Vegetarian Friendly",5866,4,$$ - $$$,28,"A nice surprise.....but a little pricey, Real Greek Food in nice setting, 01/03/2018, 11/07/2017"
Zakuski,London,"Cafe, Mediterranean, Middle Eastern, Russian, Vegetarian Friendly, Vegan Options",5867,5,$,20,"Nice breakfast, Delicious choices - the pelmeni was excell..., 08/08/2017, 12/24/2016"
Goldsmiths Arms,London,"Bar, British, Pub, Vegetarian Friendly",5868,4,$$ - $$$,45,"Good food and great atmosphere, Excellent salt beef with swiss cheese and..., 01/02/2018, 07/05/2017"
Baker & Spice - Belgravia,London,"Cafe, Vegetarian Friendly, Vegan Options, Gluten Free Options",5869,3.5,$$ - $$$,136,"High quality but average food and interior, Awesome brunch, 12/13/2017, 11/15/2017"
Limoncello Restaurant And Pizzeria,London,"Italian, Pizza, Mediterranean, European, Vegetarian Friendly, Vegan Options",5870,3.5,$$ - $$$,136,"Good location for theatre, Lovely restaurant - too crowded, 12/22/2017, 11/12/2017"
El Pirata of Mayfair,London,"Spanish, European, Vegetarian Friendly",5871,4,$$ - $$$,35,"Tapas, Old-school tapas in the heart of town, 02/05/2017, 10/22/2017"
Shawa Lebanese Grill,London,"Lebanese, Fast Food, Middle Eastern, Vegetarian Friendly, Vegan Options",5872,4,$,36,"Pit stop, Late lunch, 08/05/2017, 04/16/2017"
Chilangos,London,"Mexican, Latin, Fast Food, Central American, Vegetarian Friendly, Vegan Options",5873,4,$,65,"Best burrito, Good fast food, 09/09/2017, 02/25/2017"
Michiko Sushino,London,"Japanese, Sushi, Asian, Vegetarian Friendly",5874,4.5,$$ - $$$,16,"Corner of Eastern Promise, Sashimi from heaven, 11/24/2017, 08/08/2017"
Donovan Bar,London,"Bar, British",5875,4.5,$$$$,93,"A Gem in the Heart of W1, An oasis of quiet, 08/10/2017, 07/17/2017"
Sushi Bar Makoto,London,"Japanese, Sushi, Asian",5876,4,$$ - $$$,76,"Lush Sashimi Salad, Nice little sushi place, 10/24/2017, 08/22/2017"
Finos Bar & Restaurant,London,"Italian, Vegetarian Friendly",5877,4,$$ - $$$,53,"Good food, wine and service., An old favorite and very good value for mo..., 10/04/2017, 07/04/2017"
Waterloo Cafe,London,"Cafe, British, Vegetarian Friendly",5878,4.5,$,29,"Breakfast, One of the best places in the area!, 12/19/2017, 06/08/2017"
Mas Q Menos Soho,London,"Mediterranean, European, Spanish, Vegetarian Friendly, Vegan Options, Gluten Free Options",5879,3.5,$$ - $$$,269,"Fresh taste of Spain, Relaxed setting, 01/02/2018, 12/15/2017"
The Tokenhouse,London,"Bar, British, Pub, Gastropub, Vegetarian Friendly",5880,4,$$ - $$$,85,"Good pub on Moorgate, Good service and food and location, 07/13/2017, 06/14/2017"
Harringtons,London,"British, Cafe, Fast Food",5881,4.5,$,32,"Mr, Long may it reign!, 06/17/2017, 05/07/2017"
Old Bengal Bar,London,"Bar, British, Wine Bar",5882,4,$$ - $$$,88,"Convenient upmarket bar, 21st birthday party, 06/26/2017, 01/04/2018"
The Garden Cafe,London,"British, Cafe, European, Vegetarian Friendly",5883,4,$$ - $$$,35,"Interesting modern restaurant serving seas..., After the Museum, 11/12/2017, 10/31/2017"
The Commercial Tavern,London,"Bar, Pub",5884,4,$$ - $$$,82,"Pizza really good, Highly recommended!, 12/10/2017, 12/10/2017"
Phoenicia,London,"Lebanese, Middle Eastern, Mediterranean, Halal, Vegetarian Friendly",5885,4,$$ - $$$,94,"Good vegetarian choices, Brilliant breakfast, 08/06/2017, 06/30/2017"
Pho,London,"Asian, Vietnamese, Vegan Options, Gluten Free Options, Vegetarian Friendly",5886,3.5,$$ - $$$,127,"Toilets ????, Quick and pleasant enough, not enough for..., 10/21/2017, 10/15/2017"
Burrito Cafe,London,"Mexican, Fast Food, Vegetarian Friendly",5887,3.5,$,76,"Goody good, Good, 10/11/2017, 10/01/2017"
Campania Gastronomia,London,"Italian, European, Vegetarian Friendly",5888,3.5,$$ - $$$,82,"Good service, served me a non vegetarian d..., A bit disappointed, 10/08/2017, 09/21/2017"
Cafe Rosi,London,"Italian, Cafe, Vegetarian Friendly",5889,5,$$ - $$$,18,"Lovely dinner, Wonderful food with good-sized portions, 08/03/2017, 07/08/2017"
Light Bite,London,"Polish, European, Eastern European",5890,5,$,16,"Place to eat, Brilliant food, excellent prices, 09/26/2017, 08/27/2017"
Kings Cross Tandoori,London,"Indian, Asian, Balti, Bangladeshi, Vegetarian Friendly, Vegan Options, Halal",5891,3.5,$$ - $$$,290,"Chris Morgan, It Was Ok, 01/05/2018, 11/24/2017"
The Old Tea Warehouse,London,British,5892,4.5,$$ - $$$,14,"Client Meet, Proper Pub in the City, 12/20/2017, 12/19/2017"
Sea Fire Grill,London,"Seafood, Steakhouse, Vegetarian Friendly, Vegan Options, Halal",5893,4.5,$$ - $$$,25,"Tickles the taste buds, Mr eater, 07/11/2017, 07/07/2017"
Ohayo Sushi,London,"Japanese, Sushi, Asian",5894,4.5,$$ - $$$,30,"Great Sushi !, OMG absolutely delicious, 08/18/2017, 08/02/2017"
Zara,London,"Mediterranean, Turkish, Middle Eastern, Vegetarian Friendly, Gluten Free Options",5895,4,$$ - $$$,86,"Fresh and just what was needed, Charming place for authentic turkish food, 04/24/2017, 02/12/2017"
Pret A Manger 421 Strand,London,"Cafe, Fast Food, Vegan Options, Vegetarian Friendly",5896,4,$,30,"Super spot, even when full!, Good snack stop, 01/03/2018, 09/30/2017"
Park View Cafe,London,"Cafe, British, Vegetarian Friendly, Vegan Options, Gluten Free Options",5897,4,$$ - $$$,63,"Friendly place, Lovely Garden area great breakfast, 12/02/2017, 06/14/2017"
Piccalilli Caff,London,"Cafe, British, Vegetarian Friendly, Vegan Options",5898,4,$$ - $$$,41,"Farm Fresh, Great Place On The Thames, 05/03/2017, 04/13/2017"
Wagamama,London,"Japanese, Vegetarian Friendly, Vegan Options",5899,4,$$ - $$$,19,"first time at wagamama, New Wagamama and friendly staff, 11/21/2017, 03/26/2017"
The Edinburgh Cellars,London,"Bar, British, Pub, Vegetarian Friendly",5900,4,$$ - $$$,51,"Great food, Great ceiling, 11/20/2017, 04/23/2017"
The Currant,London,"Cafe, British, Caribbean",5901,4.5,$$ - $$$,13,"Lovely little cafe especially if you have..., VEGAN CAKESI, 10/14/2017, 10/01/2017"
The Hemingway,London,"Bar, British, Pub",5902,4,$$ - $$$,68,"Quirky pub with tasty food, Cute friendly pub, 09/25/2017, 04/14/2017"
Postcard Teas,London,International,5903,4.5,,20,"IF you love teas, You must visit the shop., Best tea shop in London, 11/15/2017, 08/20/2017"
Billy Smokes BBQ Howling Hops Location,London,,5904,5,,10,"Great beer and food, Great burgers, 09/07/2017, 08/10/2017"
giggling sausage,London,"Cafe, American, British, Diner",5905,4,$,24,"Lots of Options, Huge portion, really friendly staff, very..., 05/04/2017, 04/26/2017"
Itzu,London,"Japanese, Fast Food, Sushi",5906,4.5,$,19,"Yummy, Great health fast food, 11/06/2017, 10/22/2017"
Davys at Plantation Place,London,"British, Wine Bar, Grill, Vegetarian Friendly",5907,4,$$ - $$$,53,"Quick Business Lunch, Nice Food and Wine, 09/30/2017, 08/21/2017"
Gaylord Restaurant,London,"Indian, Asian, Vegetarian Friendly, Vegan Options, Gluten Free Options",5908,3,$$ - $$$,500,"Decent meal but missing something, +Beefy+ Lamb Rogan Josh, 01/06/2018, 10/10/2017"
Spreads Cafe,London,Cafe,5909,4.5,$,17,"Great food at knock down prices, Great coffee, 04/15/2017, 03/30/2017"
Pane E Olio,London,Italian,5910,4,$$ - $$$,16,"Small traditional Italian restaurant near..., Very good Italian restaurant in Charing Cr..., 12/13/2017, 11/10/2017"
The Dartmouth Arms,London,"Pub, British, Gastropub, European, Vegetarian Friendly, Vegan Options",5911,5,$$ - $$$,9,"Amazing food, hidden gem, What a great local pub!, 11/19/2017, 11/03/2017"
Piate,London,"Mediterranean, Greek, Vegetarian Friendly",5912,4.5,$$ - $$$,9,"New, small and very welcoming, Perfect place, 01/05/2018, 12/05/2017"
Hellenic Bakery,London,Mediterranean,5913,5,,10,"Excellent quality, My local bakery, 12/22/2017, 11/30/2017"
Brindisa Shop,London,Spanish,5914,5,$,9,"Tasty tapas!, great chorizo rolls, 09/29/2017, 08/09/2017"
Eltham Yeti Restaurant,London,"Asian, Indian, Nepali, Vegan Options, Vegetarian Friendly, Gluten Free Options",5915,3.5,$$ - $$$,196,"Christmas curry with friends, Good food, good service, 12/22/2017, 12/22/2017"
Gourmet Burger Kitchen,London,"American, Vegetarian Friendly, Gluten Free Options",5916,3.5,$$ - $$$,124,"It was OK, Best burger ever, 11/11/2017, 10/23/2017"
Le Pain Quotidien,London,"Cafe, European, French, Soups, Vegetarian Friendly, Vegan Options, Gluten Free Options",5917,4,$$ - $$$,113,"Brunch French Style, Good cafe, 11/25/2017, 11/04/2017"
Kuzu Shish,London,"Barbecue, Turkish, Mediterranean, Middle Eastern, Halal",5918,5,$,16,"""Im obsessed with Kuzu Shish"", Best Turkish Grill Restaurant in London, 12/09/2017, 09/24/2017"
McChina Eating,London,"Chinese, Asian",5919,4,$$ - $$$,58,"Surprisingly good !, ""Nice food and quietly busy sort of atmos..."", 12/26/2017, 12/03/2017"
Swimmer at the Grafton Arms,London,"Bar, British, Pub",5920,4,$$ - $$$,43,"Great food, great booze and a stuffed otte..., Overall good experience, 05/30/2017, 05/23/2017"
Nandos,London,"European, Grill, Portuguese",5921,4,$$ - $$$,77,"A good fast-food for teenagers, Fast, tasty food, 09/18/2017, 11/01/2017"
Blabar - Nordic Living,London,"Cafe, Swedish, Scandinavian, Norwegian, European, Danish",5922,4.5,$$ - $$$,17,"Best cafe to chill out, Crayfish Party, 12/27/2017, 09/25/2017"
Barraco Cafe,London,"Brazilian, Latin, South American",5923,4,$$ - $$$,96,"Good Enough, Best caipirinhas ever, 09/24/2017, 03/12/2017"
Barrio Soho,London,"Mexican, Latin, Bar, Central American, South American",5924,4,$$ - $$$,185,"Nice place for cocktails, Buzzy and friendly, 12/05/2017, 11/01/2017"
Hill & Szrok,London,,5925,4,,56,"Fab, Nice concept - good food, 11/22/2017, 05/26/2017"
Hardrocks Grill & Bar,London,"Bar, Pub",5926,4.5,$$ - $$$,14,"Birthday night, Lovely food and friendly service, 11/12/2017, 02/04/2017"
Tentazioni,London,"Italian, European",5927,4,$$$$,249,"Surprisingly bad., Still Great, 04/25/2017, 11/17/2016"
The Queens Arms,London,"Bar, British, Pub, Gastropub, Vegetarian Friendly, Gluten Free Options",5928,4,$$ - $$$,66,"Warm, popular pub, freindly, 09/24/2017, 08/24/2017"
Cellar.sw4,London,"Wine Bar, Gluten Free Options",5929,4.5,$$ - $$$,23,"Nice atmosphere and eats, Beautiful wine bar, gorgeous wines, 05/20/2017, 01/17/2017"
The Great THAI Restaurant,London,"Asian, Thai, Vegetarian Friendly",5930,4,$,40,"A cosy cube of flavours, Basic decor & Furnishings but excellent Au..., 07/18/2017, 06/19/2017"
Sumi-Ka Japanese Restaurant,London,"Sushi, Asian",5931,5,$$ - $$$,11,"Real treat, Fresh fish beautifully served, 12/10/2017, 06/09/2017"
Caffe Roma,London,"Cafe, European, Vegetarian Friendly",5932,4.5,$,32,"Good Panini, Breakfast Heaven, 06/16/2017, 05/21/2017"
Sandflames Gourmet Grill,London,"American, Vegetarian Friendly, Halal, Gluten Free Options",5933,3.5,$$ - $$$,101,"Meaty meal, Great Burgers, reasonable prices!, 09/20/2017, 07/18/2017"
Camilya of Mensa,London,"Mediterranean, Vegetarian Friendly",5934,5,$$ - $$$,9,"Great Food and Amazing Host!, Grazie Mille Camilya, 11/25/2017, 09/29/2017"
Delisserie- St Johns Wood,London,"American, Diner, Vegetarian Friendly, Gluten Free Options",5935,3.5,$$ - $$$,78,"GREAT STAFF....LARGE PORTIONS!!!, Local favorite, 11/06/2017, 08/08/2017"
Made in Italy 3.0 Northcote Road,London,"Italian, Pizza, Vegetarian Friendly, Vegan Options, Gluten Free Options",5936,4.5,$$ - $$$,65,"Lovely evening with live music!, must go for lunch next time!, 01/05/2018, 12/08/2017"
The Prince Albert,London,"Bar, British, Pub, International, Gastropub",5937,3.5,$$ - $$$,250,"Busy Tuesday, Soooo....its a gay bar., 12/20/2017, 12/16/2017"
Bella Mia,London,"Italian, Pizza, Vegetarian Friendly",5938,4,$$ - $$$,66,"Nice place, Hidden treasure, 12/22/2017, 11/17/2017"
Sariyer Balik,London,"Seafood, Mediterranean, Turkish",5939,4.5,$$ - $$$,35,"Part of Istanbul or Izmir we always wanted..., it was the best fish i ever had. Very frie..., 08/11/2017, 03/16/2017"
Pizza Express,London,"Italian, Pizza, Vegetarian Friendly, Vegan Options, Gluten Free Options",5940,3.5,$$ - $$$,154,"Good Food, Nice Staff, ok facilities but n..., A Nice break from Walking, 12/19/2017, 10/06/2017"
Cafe Deco,London,Cafe,5941,4,$,29,"Quick bite, Cheap eats!, 09/20/2017, 04/23/2017"
Kapadokya Restaurant,London,"Turkish, Mediterranean, Grill",5942,5,$,26,"Best Turkish restaurant we have visited in..., Haven of Edmonton, 11/06/2017, 04/25/2016"
The Dickens Inn,London,"Bar, British, Pub",5943,3.5,$$ - $$$,64,"Nice location, Great Pub!, 01/04/2018, 11/25/2017"
Rocket Canary Wharf,London,"European, Vegetarian Friendly",5944,3.5,$$ - $$$,136,"Amazing veggie food, Christmas lunch was ok, 01/03/2018, 12/22/2017"
Patara Fine Thai Cuisine - Hampstead,London,"Thai, Fusion, Vegetarian Friendly, Vegan Options, Gluten Free Options",5945,4,$$ - $$$,84,"Tasty Thai, Very attentive staff, excellent food. Sev..., 12/08/2017, 12/02/2017"
cafe zilly,London,"Cafe, Fast Food, British, Vegetarian Friendly",5946,4.5,$,27,"best cafe in the west end, Breakfast to die for,, 07/06/2017, 07/03/2017"
Sticks N Sushi,London,"Sushi, Japanese, Asian, Seafood",5947,4.5,,18,"Lovely, Amazing flavours, 11/17/2017, 04/29/2017"
Dark Habit,London,,5948,5,,8,"Outstanding. This team serve the best coff..., Very good coffee!, 12/27/2017, 11/16/2017"
Tortilla Stratford,London,"Mexican, Fast Food, Vegetarian Friendly",5949,4,$,89,"Great burritos with changing menu, ""Great Margaritas"", 01/03/2018, 10/21/2017"
Amalfi caffeUK,London,"Italian, Cafe, Vegetarian Friendly",5950,5,$,23,"Nice and cosy place, Delicious food, 08/03/2017, 05/17/2017"
Harris HT,London,"Italian, Mediterranean, European, Vegetarian Friendly, Vegan Options",5951,5,$,27,"Gorgeous little lunch spot, Original Fitzrovia classic, 08/15/2017, 01/17/2017"
La Roccia,London,"Italian, Cafe, British, Vegetarian Friendly",5952,3.5,$$ - $$$,114,"Handy for a quick sandwich, nothing specia..., A Cheap Corner of San Francisco, 10/12/2017, 08/04/2017"
The Theodore Bullfrog,London,"Bar, British, Pub",5953,3.5,$,43,"Decent pub in centre of London, Interesting pub off the beaten London trac..., 10/09/2017, 07/06/2017"
Mezzah Lounge,London,"Lebanese, Middle Eastern, Vegetarian Friendly, Halal",5954,4,$$ - $$$,86,"Excellent Service, Lovely food, 10/11/2017, 03/14/2017"
Yoshi Sushi,London,"Japanese, Sushi, Asian, Korean, Vegetarian Friendly, Gluten Free Options",5955,4,$$ - $$$,57,"Great food & service, Delicious lunch, would defintiely go back!, 01/05/2018, 01/02/2018"
Nandos - Ealing Common,London,"Portuguese, European, Grill",5956,4,$$ - $$$,81,"It’s a Nandos, What refurbishment, 11/26/2017, 08/11/2017"
Manzes Pie And Mash,London,,5957,4.5,,11,"Step back in time!, Proper pie mash, 01/04/2018, 11/17/2017"
The Larder,London,"European, British, Italian",5958,5,$$ - $$$,8,"Lovely little wine bar, Excellent food and friendly service, 08/23/2017, 08/16/2017"
Pret a Manger,London,"Cafe, Fast Food, Soups, Vegetarian Friendly, Gluten Free Options",5959,4,$,72,"Delicious Sandwiches!, A very good Pret, 06/28/2017, 06/12/2017"
Yeni Umut 2000 Ockbasi,London,"Turkish, Mediterranean, Barbecue, Halal, Vegetarian Friendly",5960,4.5,$$ - $$$,43,"Authentic Anatolian, Meeting with an old mate, 07/19/2017, 04/11/2017"
Four Degree,London,"French, Japanese, Sushi, European, Seafood",5961,5,$$$$,16,"An amazing culinary experience!, Classy place by the river, 01/07/2018, 01/04/2018"
Pret A Manger,London,,5962,5,,11,"Freshest Ham Sandwiches, coffee, coffee, 09/08/2017, 05/17/2017"
Giusi,London,"Italian, Pizza, Mediterranean, European, Vegetarian Friendly, Vegan Options",5963,4,$$ - $$$,30,"Chiswick local Italian, Great addition to the Chiswick food scene, 11/06/2017, 07/24/2017"
Rising Sun,London,"Bar, British, Pub",5964,4,$$ - $$$,101,"Good pub, Good pub, great food., 01/05/2018, 05/30/2017"
Queens Wood Cafe,London,"Cafe, British, Vegetarian Friendly, Vegan Options",5965,4,$$ - $$$,45,"Sometimes fast sometimes slow but magical..., Afternoon stop, 05/23/2017, 05/11/2017"
Evin Cafe Restaurant,London,"Cafe, Turkish, Mediterranean, European, Vegetarian Friendly",5966,4,$,60,"""Handy location if youre going to the Vor..."", Good Food Poor Service, 12/29/2017, 04/04/2017"
Aberdeen Steak House,London,"American, Steakhouse, British",5967,3.5,$$ - $$$,206,"Nice Steak - But pricey!, Neutral, 10/03/2017, 09/05/2017"
Franco Manca,London,"Italian, Pizza, Vegetarian Friendly, Vegan Options",5968,4,$,43,"Quick, tasty and vibrant!, Pleasant and welcoming little place., 11/21/2017, 09/11/2017"
Edo,London,"Japanese, Sushi, Asian, Vegetarian Friendly",5969,4,$$ - $$$,67,"YUM, No nonsense and decent quality sushi, 10/02/2017, 02/11/2017"
Apollo Banana Leaf,London,"Indian, Asian, Sri Lankan, Vegetarian Friendly",5970,4,$,192,"Great Service, Interesting Experience, Great place for a quiet dinner with family..., 08/10/2017, 08/08/2017"
Season Kitchen and Dining Room,London,"British, Vegetarian Friendly",5971,4,$$ - $$$,123,"Good Visit, The Lamb!, 12/13/2017, 06/03/2017"
The Union Paddington,London,"Bar, British, Pub, Vegetarian Friendly",5972,3.5,$$ - $$$,106,"Is an ok place with good beers, Excellent pub option in the Paddington are..., 12/22/2017, 09/22/2017"
The Vaults at the RSA,London,"British, International",5973,4.5,$$ - $$$,33,"Delicious lunch, Great venue for a business or private func..., 08/30/2017, 04/30/2017"
The Mogul,London,"Indian, Asian, Vegetarian Friendly",5974,3.5,$$ - $$$,189,"Good food, bad/slow service, Good grub bit pricey avoid drinks to keep..., 01/07/2018, 12/15/2017"
Tartufi&Friends,London,"Italian, Vegetarian Friendly",5975,4,$$$$,42,"A quiet corner at Harrods, ""Relaxing at Harrods"", 06/14/2017, 04/18/2017"
